N.B	EH N B
FUNGUSES	F AH NG G AH S IH Z
ARDBEG	AA R D AH G
MALT-WHISKY-TRIALLER	M AO L T W IH S K IY T R AY AH L ER
ISLAY	AY Z L EY
BOWMORE	B OW M AH R
12-YEAR-OLD	W AH N T UW Y IH R OW L D
CATASTROPHICALLY	K AE T AH S T R AA F IH K AH L IY
SELF-SERVED	S EH L F S ER V D
CENTREDNESS	S EH N T ER AH D N AH S
FUNNESS	F AH N AH S
CHOCKERS	CH AA K ER Z
CANVASLIKE	K AE N V AH S L AY K
SPELLYNGS	S P EH L AH NG Z
ABSTRUCE	AE B S T R UW S
OWT	OW T
PREFERR	P R IY F EH R
ALTHOWH	AE L TH OW
UTHERS	AH TH AH R Z
DEMURRE	D IH M Y UH R
BRYNG	B R IH NG
CHELTENHAM	CH EH L T EH N HH AH M
RUNNEL	R AH N AH L
WHOLEMEAL	HH OW L M IY L
CUSTOM'S	K AH S T AH M Z
FOOTY-MAD	F UH T IY M AE D
HAIKU-BASED	HH AY K UW B EY S T
CARAVAGGIO'S	K AE R AH V AE JH IY AH Z
CASSATT'S	K AE S AH TS
IMPRESSIONIST-STYLED	IH M P R EH SH AH N AH S T S T AY L D
CANALETTO	K AE N AH L EH T OW
CALDER'S	K AO L D ER Z
EX-UNCLE	EH K S AH NG K AH L
CARKED	K AA R K T
MM-MMM	EH M EH M EH M
WHATSIT	W AA T S AH T
CATHODE-RAY	K AE TH OW D R EY
BUNGIN	B AH N JH IH N
CARRY-OOT'S	K AE R IY UW T S
BRU	B R UW
PISH	P IH SH
HOLDIN	HH OW L D IH N
CATTLEMAN	K AE T AH L M AE N
COW/	K AW
HALF-BREED	HH AE F B R IY D
DICES	D AY S IH Z
BUSHFIRES	B UH SH F AY ER Z
MURWILLUMBAH	M AH R W AH L AH M B AH
CHISLEY	CH IH Z L IY
CHAPBOOK	CH AE P B UH K
TEE-HEE-HEE	T IY HH IY HH IY
CHOKEBERRY	CH OW K B EH R IY
EX-STASI	EH K S S T AA S IY
AUTHORITY-MOCKER	AH TH AO R AH T IY M AA K ER
CERTIFIER	S ER T AH F AY ER
CAMELOPARD'S	K AH M EH L AH P AH R D Z
DAINTREE	D EY N T R IY IY
SALTIES	S AO L T IY Z
LAND-OWNING	L AE N D OW N IH NG
BANK-ACCOUNT	B AE NG K AH K AW N T
